,equil_modulus,elastic_modulus_1,elastic_modulus_2,elastic_modulus_3,relax_time_1,relax_time_2,relax_time_3,r_square,instant_modulus,viscous_coefficient_1,viscous_coefficient_2,viscous_coeffient_3
0,0.055259648199256224,0.015174241778019761,0.014607168540598821,0.014743886755426512,1.803596714783204,14.115063393024545,112.75993239462268,0.9998198945864357,0.09978494527330131,0.027368212620162483,0.2061811099431462,1.6625196737758663
1,0.05553664786940892,0.014399848169483065,0.014443973407014296,0.015435152368295225,1.9477428655349656,15.147691718797596,122.34726706924825,0.9998528542680755,0.0998156218142015,0.02804720153689737,0.21879285636396315,1.8884487090583555
2,0.055358605551770315,0.013548078447769979,0.014692020199477494,0.01619631436922832,1.4042837720417187,13.590579333911425,112.74886131487469,0.9997758320851418,0.0997950185682461,0.019025346706551538,0.19967306609642804,1.8261160026282361
3,0.05502089628346488,0.020686820567332412,0.014852900142074833,0.013745001730199507,2.559156588531821,19.267035374813286,145.32751860501185,0.9996889064754438,0.10430561872307163,0.052940813150664325,0.2861713524559251,1.9975269946714889
4,0.06118686469844357,0.013249067212779865,0.012800119425981842,0.012407812934928207,1.5953147322674666,14.644843772861192,127.23235186069137,0.9996338710945876,0.09964386427213348,0.02113643211334958,0.18745574926746975,1.5786752211584232
5,0.06328536589082888,0.019120581803214888,0.013645799620303661,0.009237098295726701,2.364669427314489,19.510297941122907,154.9467162559462,0.9995644548810936,0.10528884561007414,0.045213855222527986,0.26623361623698627,1.4312580486562494
6,0.06674565852168124,0.013774172331806101,0.011707113085977407,0.00907924986179876,1.6202489062961873,15.697811489584183,118.63895030724038,0.9995753262273473,0.1013061938012635,0.02231758765574404,0.18377605431091748,1.0771526731809622
7,0.06459763406873976,0.01365820035693665,0.012127671997285799,0.010927370709421258,1.628740796511387,14.762386970365968,135.98361261372435,0.9996473108321341,0.10131087713238347,0.022245668128269107,0.17903338707360408,1.4859433454364985
8,0.06139187141596285,0.016842153124343996,0.011857484010634935,0.01234543285139983,2.3511568094821143,17.443766265159898,138.2568167866487,0.9998098333977439,0.10243694140234161,0.03959854300464185,0.20683917957438658,1.7068402478878604
9,0.06069252648248056,0.015446430877525525,0.01395193663710944,0.009694274122897112,1.1033014987852232,13.656341871100347,102.61183429207736,0.9994168042816136,0.09978516812001265,0.017042070338056263,0.19053241648029662,0.9947472498806921
10,0.03866163099721946,0.027876542143778778,0.017221313128772887,0.021153526596791834,1.8337656727563671,15.775124842937238,140.3027093283544,0.9997832732961323,0.10491301286656296,0.05111904605840771,0.27166836456570637,2.9678970933792987
11,0.054236259646751134,0.01592240054861,0.014051819345296425,0.015349976455808757,1.6479559031265183,15.89590870976682,135.46092842567822,0.9996942687644969,0.0995604559964663,0.026239413976026766,0.22336643751896734,2.0793220620161557
12,0.06443619715567409,0.012442494080071167,0.011647019981544667,0.011272602370540305,1.1894024960582656,13.558713978747718,128.91143192539653,0.9994889715472298,0.09979831358783021,0.01479913351602684,0.15791861263452367,1.45316731311197
13,0.06868836933402882,0.013735846096391778,0.01048505144269857,0.010222864421898497,2.729072104973931,19.816809746288452,139.20953655537704,0.9996896753625426,0.10313213129501766,0.03748611441987786,0.20778026962000481,1.4231202184409422
14,0.06853078571603002,0.010115422050613122,0.011569932033058837,0.009491651335563137,1.6177386740994184,15.414094385877467,134.4045730634563,0.9996483435348547,0.09970779113526512,0.01636410945611489,0.17834002439575608,1.275721345423548
15,0.06050497975135312,0.012908343035767933,0.013971342193203375,0.01223251207964775,1.7400622889153738,15.584618930659769,133.71333542199224,0.9996553007901372,0.09961717705997218,0.022461320928923174,0.2177380440309229,1.6356499907595115
16,0.06001167131448884,0.013475480754330383,0.012873513720598008,0.013274130266852632,1.5135395079724194,14.817807916889592,147.25892091240726,0.9995780298708898,0.09963479605626986,0.020395672510601016,0.19075725352726394,1.9547340991474433
17,0.03949243857856567,0.03126095296815414,0.017183590775514263,0.01737078282127785,2.3378996777593746,21.73182305773294,143.7422613489271,0.9993449149578498,0.10530776514351192,0.07308497187069853,0.37343075422996785,2.4969156041315737
18,0.06599468244803525,0.010813164960463051,0.01270846837443822,0.010166225417829947,1.7866459693584362,16.839687285768566,116.66601720647957,0.9996852745670024,0.09968254120076647,0.019319297592619186,0.2140066333066192,1.1860530295214986
19,0.048346447389155736,0.023209992344005777,0.015204164749540032,0.014500521561751224,1.5834513595554138,14.361092360071385,126.25705154458836,0.9996529676007605,0.10126112604445278,0.036751893932386696,0.21834841422588602,1.8307930982454392
20,0.05591498519296141,0.015712371014038277,0.01424316987206239,0.013889802943946096,1.2411852841844495,14.30947789901967,132.45750729172684,0.9995379138694053,0.09976032902300817,0.019501963682270605,0.20381232449625958,1.839808674728389
21,0.04545765970166381,0.02187317785769489,0.015132910815629974,0.018203681007967928,1.918856255989867,16.601499481444616,145.90298769355385,0.9998376801489186,0.10066742938295661,0.04197148417061688,0.25122901105842865,2.6559714460829245
22,0.0534788092373406,0.016079434371398398,0.015601949739163104,0.014523708442061037,1.3293556103463355,15.00752973750614,125.39017003251914,0.9995660127223593,0.09968390178996314,0.021375286292814162,0.23414672467356645,1.821130271052767
23,0.04822570985303787,0.019900993013722956,0.017062646328871608,0.014419671776257015,1.543367795820655,14.99207639121396,108.59715750689129,0.9995632943679601,0.09960902097188945,0.030714551722231854,0.25580449719870957,1.565935367083858
24,0.05488231147845209,0.01508846965852506,0.015612746628967202,0.014105976481106595,1.2357092160588254,11.980676506709218,126.24959526074669,0.9995872478523317,0.09968950424705095,0.018644961013263375,0.1870512667428709,1.7808738214973194
25,0.04635244612099638,0.02029306051973246,0.01675082328934911,0.016229477074843436,1.850957959977758,15.579447737018956,121.24490906795563,0.9997109850938342,0.09962580700492138,0.03756160190130917,0.2609685759884544,1.967741472159863
26,0.04987151577525572,0.022558389608990065,0.015254931888667797,0.014858828200601321,1.3897160194174376,14.13692230863128,130.73849193479978,0.9995517863749465,0.1025436654735149,0.03134975541187336,0.2156577869335585,1.9426207908648914
27,0.06149187219058692,0.01575646261233995,0.012324486123717001,0.013085947746924679,1.7632543455538172,15.32775068866306,146.4957590527229,0.9997266232737753,0.10265876867356855,0.027782651171764663,0.1889066506702216,1.9170358481099998
28,0.06279515976672456,0.013706608943195258,0.011500994528779611,0.011868457801265102,0.920994912861201,12.703655048278028,120.52674029071669,0.9995241947368281,0.09987122103996454,0.012623717109260676,0.14610466720574908,1.4304665310644094
29,0.053372700797209884,0.01772756101019619,0.013917447183145587,0.014831895388196494,1.0478396720147134,11.509073764969578,129.15224945326005,0.9995858342822547,0.09984960437874815,0.0185756417145448,0.16017692625089064,1.9155726530410109
